Predicted Reforming Activity,Surface
0.025880354464926106,Pt(111)
0.09179158747830773,Sc-Pt-Pt(111)
0.049076118125300106,Pt-Sc-Pt(111)
0.08804135953770763,Ti-Pt-Pt(111)
0.03104561484077091,Pt-Ti-Pt(111)
0.09033708780942884,V-Pt-Pt(111)
0.03988580094396425,Pt-V-Pt(111)
0.0983310598786266,Cr-Pt-Pt(111)
0.0272151553473665,Pt-Cr-Pt(111)
0.10380746678679353,Mn-Pt-Pt(111)
0.061755697532764005,Pt-Mn-Pt(111)
0.0942462622710203,Fe-Pt-Pt(111)
0.04333717258914983,Pt-Fe-Pt(111)
0.08854146386010255,Co-Pt-Pt(111)
0.04013238718058059,Pt-Co-Pt(111)
0.07334622075204997,Ni-Pt-Pt(111)
0.013183015544374982,Pt-Ni-Pt(111)
0.07172790068955909,Cu-Pt-Pt(111)
0.03411928534339678,Pt-Cu-Pt(111)
0.13233166847286476,Zn-Pt-Pt(111)
0.013570273379614431,Pt-Zn-Pt(111)
