Predicted Reforming Selectivity,Surface
0.45048755841319027,Pt(111)
0.03467132588891463,Sc-Pt-Pt(111)
1.0024263370074122,Pt-Sc-Pt(111)
0.7562943944233866,Ti-Pt-Pt(111)
0.8194536826147532,Pt-Ti-Pt(111)
0.061225299484764274,V-Pt-Pt(111)
0.2930495692396187,Pt-V-Pt(111)
0.9820087814143134,Cr-Pt-Pt(111)
0.08259670905264556,Pt-Cr-Pt(111)
0.959315715971236,Mn-Pt-Pt(111)
0.7537751623742542,Pt-Mn-Pt(111)
0.9139168218804233,Fe-Pt-Pt(111)
0.8185493608808154,Pt-Fe-Pt(111)
0.9680865101076763,Co-Pt-Pt(111)
0.21044084921475528,Pt-Co-Pt(111)
0.8558942642172614,Ni-Pt-Pt(111)
0.7743987802870134,Pt-Ni-Pt(111)
-0.007163576900105062,Cu-Pt-Pt(111)
-0.010200871967076945,Pt-Cu-Pt(111)
1.0083042501630848,Zn-Pt-Pt(111)
0.9807171798079222,Pt-Zn-Pt(111)
